rating,review,clean_review,length
1.0,"I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever",i bought of those sandisk gb microsd used them on my galaxy note and galaxy s first one my phone started saying it was removed then recognize it again then diedi thought it s just a luck plugged in the nd one stayed for about months and died suddenly and lost everythingnever buying from sandisk again ever,306
1.0,"I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.",i bougth this micro sd card after some trubles with other that i got from kingston i can tell that sandisk is other quality this is the best my i phone can read a gb very fast the dta transfer speed from my pc to my is amazing if you are looking for additional storage to you phone for music pictures and other type of files this is for you pros very good quality materials of construction amazing speedupdate after one year this memory is damaged i can not delete or put new files on it i can not format this memory i tried to format with my phone with my pc with a camera and nothing now this is like a gb cd the data in the memory is only available to read but i can not move or delete it i bought this memory to be used to backup all my data of my android device but now is only a readable memory i can not write data on it any more i hope sandisk make a better products in the future total disagree i will buy a samsung memory card expected a better quality,962
1.0,"Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however...",ordered this for a galaxy s lasted a few months and then broke is not accessible on several different pc s says limited lifetime warranty bs you have one month for eco zone not only did i lose pictures but now i am out because of a crappy return policy in the future i will be buying kingston not sandisk update amazon customer service made good and refunded my purchase price i still will not be buying any more sandisk memory cards however,441
2.0,"I used this for a few months in my phone, then it decided to quit mounting. I lost some pictures of pets who died shortly after. I got a replacement card, but I had to send in the old one, giving up any chance of recovering its contents. The new one's worked fine, but failing after 3 months in inexcusable.",i used this for a few months in my phone then it decided to quit mounting i lost some pictures of pets who died shortly after i got a replacement card but i had to send in the old one giving up any chance of recovering its contents the new one s worked fine but failing after months in inexcusable,297
2.0,"It works but the actual R/W speeds are 18/8 MB/s, not even Class 10. It should be marketed as ""Sandisk Basic"", not Sandisk Ultra"", unless they mean ultra slow. Now is 2014 and there is no excuse for such slow card from Sandisk.*** UPDATE ***I have redone the test with NotePro 12.2"" instead of using non UHS-I PC and the latest results are 32/8.6MB/s. Since the read speed hits 30, I believe the device is DHS-I ready. Still underwhelmed by the write speed though.",it works but the actual r w speeds are mb s not even class it should be marketed as sandisk basic not sandisk ultra unless they mean ultra slow now is and there is no excuse for such slow card from sandisk update i have redone the test with notepro instead of using non uhs i pc and the latest results are mb s since the read speed hits i believe the device is dhs i ready still underwhelmed by the write speed though,417
2.0,"I bought 64GB version of the card to use with GoPro Hero 3 black edition.  It didn't work out.  The card worked OK if camera was set to resolution with lower bit rates.  E.g. worked fine in 720p with protune on, or 1080p with protune off.  However, in 1080p with protune on (bitrate is just shy of 6 MB/s in this mode -- much higher then with protune turned off) it was nothing but trouble.  Camera would sometime work, and sometime randomly stop recording for no obvious reason.  I first suspected camera, but testing with different SD cards, it ended up being SanDisk's card that was at fault.  My spare card, an old and cheap 16GB PNY (also class 10), worked just fine under same conditions and with same camera settings.Once it was obvious it was problem with the card, I found people on GoPro's forums that had trouble with this specific card as well (well, you always find these only after you figure it out for yourself, right?).  Anyhow, I did some speed tests with the card by doing simple write of 1GB file full of zeros using Unix dd utility to copy 1GB of zeros from /dev/zero (where else would you find that many zeros ;-) onto a file on the card.  The result was that on average, SanDisk's card would manage about 10.2 MB/s.  Just barely above the bar for class 10 card.  However, that was average over 1GB.  During the write test, the speed was oscillating with many spikes and drops.  Drops were as low as 7MB/s.  Uh.  I thought write speed of class 10 card should never dip below 10 MB/s?  For comparison, my old cheap class 10 PNY card was chugging along at constant 13 MB/s under the same test.  No spikes and no drops in speed.The card will probably work fine in most devices, as bitrates when recording 1080p video are often low enough and/or camera might have huge buffer.  But if you want to use it to record video at high bitrates, and your device doesn't have huge buffer to compensate for speed bumps of this card, you may run into trouble.  Be wary of using it in Hero3 in modes that have higher bit rates (e.g. 1080p with protune enabled).SanDisk's website lists part numbers as SDSDQUI-064G with adapter, and SDSDQUA-064G without adapter.  This conflicts with product description on Amazon.  While this is likely just Amazon not getting product description right again (a bit too common thing), it's interesting to note.[Update Apr 20 2013]:Some numbers from testing the card.  The test is extremely simple.  Write out 1GB of zeros onto the card using standard Unix dd command to read 128KB blocks of zeroes from special device /dev/zero and write it onto the card.  128KB * 8192 = 1GB.  dd displays transfer stats once it finishes.  While dd was running, I run iostat in second terminal displaying 1 second interval stats as a measure of current speed.  This was done on the Mac.  dd command line can be used as-is to repeat test on Linux system, however iostat command is different on Linux and would need to be modified slightly.  I choose 128KB block size, as that seems to be what device drivers merges sequential writes into anyhow.  Using different block sizes, results are comparable.$ dd if=/dev/zero of=test bs=131072 count=81928192+0 records in8192+0 records out1073741824 bytes transferred in 101.578307 secs (10570582 bytes/sec)So, 10 MB/s and all is good? Right? Wrong! iostat running in parallel with above dd command recorded this:$ iostat -d -w 1 disk2disk2KB/t tps MB/s123.11 76 9.12116.61 185 21.04122.94 49 5.88128.00 41 5.12128.00 89 11.11128.00 134 16.73128.00 69 8.61128.00 61 7.62128.00 99 12.36[ ... and so on until dd finishes writing 1GB of zeros to the card ... ]IMO, the last column should never dip under 10MB/s for card labeled class-10.For comparison, same test run against Samsung Pro 64GB micro-SD card:$ dd if=/dev/zero of=test bs=131072 count=81928192+0 records in8192+0 records out1073741824 bytes transferred in 52.869111 secs (20309436 bytes/sec)$ iostat -d -w 1 disk2disk2KB/t tps MB/s125.30 138 16.86117.73 157 18.03123.04 150 18.00128.00 159 19.86128.00 156 19.47126.45 160 19.73128.00 150 18.72128.00 154 19.22128.00 153 19.11[ ... and so on until dd finishes writing 1GB of zeros to the card ... ]So, Samsung is on average 2x faster, but more importantly it's speed is much more constant.  And critically important, it never dips under 10MB/s.",i bought gb version of the card to use with gopro hero black edition it didn t work out the card worked ok if camera was set to resolution with lower bit rates e g worked fine in p with protune on or p with protune off however in p with protune on bitrate is just shy of mb s in this mode much higher then with protune turned off it was nothing but trouble camera would sometime work and sometime randomly stop recording for no obvious reason i first suspected camera but testing with different sd cards it ended up being sandisk s card that was at fault my spare card an old and cheap gb pny also class worked just fine under same conditions and with same camera settings once it was obvious it was problem with the card i found people on gopro s forums that had trouble with this specific card as well well you always find these only after you figure it out for yourself right anyhow i did some speed tests with the card by doing simple write of gb file full of zeros using unix dd utility to copy gb of zeros from dev zero where else would you find that many zeros onto a file on the card the result was that on average sandisk s card would manage about mb s just barely above the bar for class card however that was average over gb during the write test the speed was oscillating with many spikes and drops drops were as low as mb s uh i thought write speed of class card should never dip below mb s for comparison my old cheap class pny card was chugging along at constant mb s under the same test no spikes and no drops in speed the card will probably work fine in most devices as bitrates when recording p video are often low enough and or camera might have huge buffer but if you want to use it to record video at high bitrates and your device doesn t have huge buffer to compensate for speed bumps of this card you may run into trouble be wary of using it in hero in modes that have higher bit rates e g p with protune enabled sandisk s website lists part numbers as sdsdqui g with adapter and sdsdqua g without adapter this conflicts with product description on amazon while this is likely just amazon not getting product description right again a bit too common thing it s interesting to note update apr some numbers from testing the card the test is extremely simple write out gb of zeros onto the card using standard unix dd command to read kb blocks of zeroes from special device dev zero and write it onto the card kb gb dd displays transfer stats once it finishes while dd was running i run iostat in second terminal displaying second interval stats as a measure of current speed this was done on the mac dd command line can be used as is to repeat test on linux system however iostat command is different on linux and would need to be modified slightly i choose kb block size as that seems to be what device drivers merges sequential writes into anyhow using different block sizes results are comparable dd if dev zero of test bs count records in records out bytes transferred in secs bytes sec so mb s and all is good right wrong iostat running in parallel with above dd command recorded this iostat d w disk disk kb t tps mb s and so on until dd finishes writing gb of zeros to the card imo the last column should never dip under mb s for card labeled class for comparison same test run against samsung pro gb micro sd card dd if dev zero of test bs count records in records out bytes transferred in secs bytes sec iostat d w disk disk kb t tps mb s and so on until dd finishes writing gb of zeros to the card so samsung is on average x faster but more importantly it s speed is much more constant and critically important it never dips under mb s,3666
1.0,"I have an old SanDisk SD card that still works. I thought their new cards would be just as reliable, but I was wrong.The microsd card failed yesterday inside my phone. I used the adapter to connect it to my computer, but it wouldn't mount.I bought this directly from Amazon and not a third party vendor, so I know it's genuine SanDisk.",i have an old sandisk sd card that still works i thought their new cards would be just as reliable but i was wrong the microsd card failed yesterday inside my phone i used the adapter to connect it to my computer but it wouldn t mount i bought this directly from amazon and not a third party vendor so i know it s genuine sandisk,329
2.0,Used it in my Galaxy Note 2 for the past 16 months. All the sudden it is no longer writable. I tried many ways to reformat the card. Even Windows says format successful but all files remain after I remove and re-insert the card. Since I have private files in the card I'm not able to delete. I do not want to sent it back to SanDisk for replacement.,used it in my galaxy note for the past months all the sudden it is no longer writable i tried many ways to reformat the card even windows says format successful but all files remain after i remove and re insert the card since i have private files in the card i m not able to delete i do not want to sent it back to sandisk for replacement,338
1.0,"I bought this on August of 2013.  As of April 2014 the card stopped functioning.  It can still be read, but the writing capability is gone.  That's less than one year.  I'm extremely disappointed in the longevity of this card.  My usage of it has been on my Galaxy S4.  I have about 40Gb of data in it.  Guess I'm going to have to look for another card that has a longer lifespan than this one.",i bought this on august of as of april the card stopped functioning it can still be read but the writing capability is gone that s less than one year i m extremely disappointed in the longevity of this card my usage of it has been on my galaxy s i have about gb of data in it guess i m going to have to look for another card that has a longer lifespan than this one,365
1.0,"I routinely use SDXC cards up to 128GB, and this card was unreadable on arrival.  Both of my PCs said it needed to be formatted, and as a last resort I let one of them try (Windows 7/i7with up-to-date SDXC drivers), and it could not format it.  It's on its way back to Amazon.  I'm glad their returns are so easy!",i routinely use sdxc cards up to gb and this card was unreadable on arrival both of my pcs said it needed to be formatted and as a last resort i let one of them try windows i with up to date sdxc drivers and it could not format it it s on its way back to amazon i m glad their returns are so easy,296
